epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
45,275807,0.74433,0.57934,0.89034,1,0.99905,0.99479,0.9946,0.62084,0.45187,0.84429,0.007822,0.007822,0.007822
46,281131,0.74262,0.57747,0.88952,1,0.99905,0.99477,0.99459,0.62043,0.45162,0.84396,0.0077725,0.0077725,0.0077725
47,286456,0.74215,0.57639,0.88943,1,0.99905,0.99475,0.99458,0.62039,0.45117,0.84393,0.007723,0.007723,0.007723
48,291782,0.74211,0.57688,0.88955,1,0.99905,0.99482,0.9946,0.62004,0.45053,0.84377,0.0076735,0.0076735,0.0076735
49,297145,0.74084,0.57479,0.88927,1,0.99905,0.99486,0.99462,0.6195,0.45031,0.84373,0.007624,0.007624,0.007624
50,302469,0.73985,0.57443,0.88905,1,0.99905,0.99488,0.99462,0.61916,0.4499,0.84351,0.0075745,0.0075745,0.0075745
51,307804,0.74027,0.57435,0.88883,1,0.99905,0.9949,0.99463,0.61892,0.44944,0.84335,0.007525,0.007525,0.007525
52,313131,0.73967,0.57333,0.88886,1,0.99905,0.99489,0.99473,0.61846,0.44855,0.84307,0.0074755,0.0074755,0.0074755
53,318626,0.73922,0.57326,0.88844,1,0.99905,0.99489,0.99473,0.61856,0.4484,0.84287,0.007426,0.007426,0.007426
54,325999,0.73802,0.57151,0.88859,1,0.99905,0.9949,0.99474,0.6183,0.44802,0.84288,0.0073765,0.0073765,0.0073765
55,332870,0.73708,0.57094,0.88802,1,0.99905,0.99492,0.99471,0.61846,0.44773,0.84277,0.007327,0.007327,0.007327
56,340074,0.73664,0.57117,0.88756,1,0.99905,0.9949,0.9947,0.61813,0.44744,0.8426,0.0072775,0.0072775,0.0072775
57,346147,0.73583,0.56911,0.88738,1,0.99905,0.9949,0.9947,0.61809,0.44743,0.84245,0.007228,0.007228,0.007228
58,352839,0.73486,0.56884,0.88683,1,0.99905,0.9949,0.99472,0.61779,0.44713,0.84225,0.0071785,0.0071785,0.0071785
59,358149,0.73524,0.56871,0.88742,1,0.99905,0.9949,0.99473,0.61727,0.447,0.84198,0.007129,0.007129,0.007129
60,363465,0.73296,0.5669,0.8866,1,0.99905,0.99492,0.99474,0.61701,0.44691,0.84193,0.0070795,0.0070795,0.0070795
61,368786,0.73432,0.56668,0.88689,1,0.99905,0.99492,0.99473,0.61677,0.44658,0.84173,0.00703,0.00703,0.00703
62,374310,0.73351,0.56609,0.88657,1,0.99905,0.99491,0.99474,0.61623,0.44606,0.84128,0.0069805,0.0069805,0.0069805
63,6523.7,0.72806,0.55931,0.88478,1,0.99905,0.9949,0.99468,0.61585,0.44529,0.84109,0.006931,0.006931,0.006931
64,11828.1,0.73153,0.56401,0.88613,1,0.99905,0.99492,0.99469,0.61563,0.44499,0.84105,0.0068815,0.0068815,0.0068815
65,19471.1,0.7323,0.56482,0.8865,1,0.99905,0.99493,0.9947,0.61588,0.44499,0.84139,0.006832,0.006832,0.006832
66,25585.9,0.73095,0.56357,0.88598,1,0.99905,0.99494,0.99476,0.61586,0.4448,0.84125,0.0067825,0.0067825,0.0067825
67,30781.4,0.73142,0.56385,0.88624,1,0.99905,0.99494,0.99476,0.61582,0.44478,0.8413,0.006733,0.006733,0.006733
68,35979.9,0.73089,0.56351,0.88581,1,0.99905,0.99494,0.99476,0.61603,0.44459,0.8414,0.0066835,0.0066835,0.0066835
69,41170.5,0.72958,0.5616,0.88564,1,0.99905,0.99495,0.99476,0.61568,0.44422,0.84146,0.006634,0.006634,0.006634
70,46355.6,0.7289,0.56121,0.88481,1,0.99905,0.99494,0.99476,0.61538,0.44384,0.84124,0.0065845,0.0065845,0.0065845
71,51550.2,0.72828,0.5603,0.88461,1,0.99905,0.99494,0.99476,0.61499,0.44346,0.84086,0.006535,0.006535,0.006535
72,56748.6,0.72749,0.5597,0.88489,1,0.99905,0.99494,0.99475,0.61501,0.44328,0.84076,0.0064855,0.0064855,0.0064855
73,61961.1,0.72745,0.55908,0.88439,1,0.99905,0.99493,0.99472,0.61521,0.44319,0.84057,0.006436,0.006436,0.006436
74,67168.4,0.72613,0.5588,0.88438,1,0.99905,0.99492,0.99471,0.61457,0.44254,0.84041,0.0063865,0.0063865,0.0063865
75,72375.5,0.72629,0.55875,0.88399,1,0.99905,0.99492,0.99469,0.61414,0.44196,0.84005,0.006337,0.006337,0.006337
76,79317.4,0.72546,0.55647,0.88378,1,0.99905,0.99492,0.99475,0.61384,0.44167,0.83993,0.0062875,0.0062875,0.0062875
77,87482.1,0.72436,0.55582,0.88379,1,0.99905,0.9949,0.99473,0.61379,0.44141,0.83987,0.006238,0.006238,0.006238
78,93156.4,0.72444,0.55618,0.88413,1,0.99905,0.99492,0.99475,0.6135,0.44131,0.84001,0.0061885,0.0061885,0.0061885
79,101100,0.72358,0.55509,0.88343,1,0.99905,0.99492,0.99475,0.61319,0.44101,0.83998,0.006139,0.006139,0.006139
80,108918,0.72333,0.55391,0.88329,1,0.99905,0.99492,0.99475,0.61252,0.44022,0.83961,0.0060895,0.0060895,0.0060895
81,114325,0.72217,0.55402,0.88295,1,0.99905,0.99493,0.99476,0.61248,0.4401,0.83964,0.00604,0.00604,0.00604
82,119539,0.72172,0.55224,0.88237,1,0.99905,0.99492,0.99475,0.61222,0.4397,0.83935,0.0059905,0.0059905,0.0059905
83,124755,0.72136,0.55227,0.88286,1,0.99905,0.99495,0.99477,0.61204,0.43948,0.83933,0.005941,0.005941,0.005941
84,129968,0.72179,0.55133,0.88303,1,0.99905,0.99496,0.99478,0.61196,0.43934,0.83936,0.0058915,0.0058915,0.0058915
85,135187,0.7205,0.55078,0.88261,1,0.99905,0.99494,0.99476,0.61137,0.43883,0.83923,0.005842,0.005842,0.005842
86,140406,0.71925,0.54922,0.88217,1,0.99905,0.99494,0.99476,0.61095,0.43835,0.83908,0.0057925,0.0057925,0.0057925
87,145636,0.71864,0.54824,0.88117,1,0.99905,0.99493,0.99476,0.61046,0.43775,0.83866,0.005743,0.005743,0.005743
88,150860,0.71828,0.54798,0.88157,1,0.99905,0.99492,0.99475,0.61017,0.43746,0.83861,0.0056935,0.0056935,0.0056935
89,156078,0.71845,0.5482,0.88153,1,0.99905,0.99492,0.99475,0.61014,0.43725,0.83847,0.005644,0.005644,0.005644
90,161316,0.71697,0.54718,0.88058,1,0.99905,0.99492,0.99475,0.60999,0.43697,0.83826,0.0055945,0.0055945,0.0055945
91,166564,0.71677,0.54602,0.88104,1,0.99905,0.99492,0.99475,0.60973,0.43652,0.83824,0.005545,0.005545,0.005545
92,171802,0.71722,0.54621,0.8811,1,0.99905,0.99495,0.99477,0.60943,0.43591,0.83806,0.0054955,0.0054955,0.0054955
93,177033,0.71556,0.54485,0.88091,1,0.99905,0.99495,0.99477,0.60924,0.43555,0.83813,0.005446,0.005446,0.005446
94,182261,0.71497,0.54513,0.88088,1,0.99905,0.99495,0.99477,0.60897,0.43499,0.83803,0.0053965,0.0053965,0.0053965
95,187479,0.7154,0.54378,0.88075,1,0.99905,0.99494,0.99476,0.60894,0.43499,0.83796,0.005347,0.005347,0.005347
96,192701,0.71408,0.5431,0.88035,1,0.99905,0.99493,0.9947,0.60876,0.43485,0.83788,0.0052975,0.0052975,0.0052975
97,197917,0.71394,0.54257,0.88064,1,0.99905,0.99494,0.9947,0.60875,0.43472,0.83796,0.005248,0.005248,0.005248
98,203130,0.71373,0.54278,0.87978,1,0.99905,0.99494,0.99471,0.60889,0.43459,0.83789,0.0051985,0.0051985,0.0051985
99,208346,0.71227,0.54059,0.87986,1,0.99905,0.99493,0.99464,0.6086,0.43416,0.83774,0.005149,0.005149,0.005149
100,213553,0.7119,0.54074,0.87934,1,0.99905,0.99492,0.99469,0.60835,0.43375,0.83756,0.0050995,0.0050995,0.0050995
101,218771,0.71123,0.53966,0.87914,1,0.99905,0.99492,0.9947,0.60812,0.43328,0.83741,0.00505,0.00505,0.00505
102,223993,0.71164,0.5401,0.87947,1,0.99905,0.99493,0.99464,0.60803,0.43279,0.83741,0.0050005,0.0050005,0.0050005
103,229210,0.70944,0.53806,0.8791,1,0.99905,0.99492,0.99464,0.6079,0.4329,0.83745,0.004951,0.004951,0.004951
104,234441,0.70922,0.53801,0.87887,1,0.99905,0.99493,0.99464,0.60778,0.43257,0.83739,0.0049015,0.0049015,0.0049015
105,239657,0.70926,0.53765,0.87902,1,0.99905,0.99493,0.99464,0.60732,0.4323,0.83734,0.004852,0.004852,0.004852
106,244876,0.70902,0.53681,0.87898,1,0.99905,0.99493,0.99464,0.60694,0.43183,0.83736,0.0048025,0.0048025,0.0048025
107,250096,0.70856,0.53647,0.87888,1,0.99905,0.99492,0.99475,0.60635,0.43145,0.83732,0.004753,0.004753,0.004753
108,255318,0.70683,0.53552,0.8781,1,0.99905,0.99492,0.99475,0.6062,0.43139,0.8373,0.0047035,0.0047035,0.0047035
109,260537,0.70669,0.5347,0.87741,1,0.99905,0.99492,0.99475,0.60631,0.43114,0.83709,0.004654,0.004654,0.004654
110,265767,0.7067,0.53487,0.87788,1,0.99905,0.99493,0.9947,0.60604,0.43106,0.83694,0.0046045,0.0046045,0.0046045
111,271002,0.70512,0.53307,0.87784,1,0.99905,0.99494,0.99476,0.60582,0.43059,0.83714,0.004555,0.004555,0.004555
112,276221,0.70487,0.53321,0.87777,1,0.99905,0.99496,0.99478,0.60537,0.43019,0.83697,0.0045055,0.0045055,0.0045055
113,281444,0.7048,0.53248,0.87676,1,0.99905,0.99496,0.99478,0.60505,0.42971,0.83657,0.004456,0.004456,0.004456
